"S/T code","S/T name","GCCSA code","GCCSA name","SA4 code","SA4 name","SA3 code","SA3 name","SA2 code","SA2 name","Population"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10102","Queanbeyan","101021007","Braidwood","4039"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10102","Queanbeyan","101021008","Karabar","8476"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10102","Queanbeyan","101021009","Queanbeyan","11340"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10102","Queanbeyan","101021010","Queanbeyan - East","5011"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10102","Queanbeyan","101021011","Queanbeyan Region","18188"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10102","Queanbeyan","101021012","Queanbeyan West - Jerrabomberra","13136"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10103","Snowy Mountains","101031013","Bombala","2413"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10103","Snowy Mountains","101031014","Cooma","6853"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10103","Snowy Mountains","101031015","Cooma Region","3341"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10103","Snowy Mountains","101031016","Jindabyne - Berridale","7113"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10104","South Coast","101041017","Batemans Bay","7911"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10104","South Coast","101041018","Batemans Bay - South","8521"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10104","South Coast","101041019","Bega - Tathra","8631"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10104","South Coast","101041020","Bega-Eden Hinterland","8924"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10104","South Coast","101041021","Broulee - Tomakin","3397"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10104","South Coast","101041022","Deua - Wadbilliga","25"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10104","South Coast","101041023","Eden","3283"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10104","South Coast","101041024","Eurobodalla Hinterland","3385"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10104","South Coast","101041025","Merimbula - Tura Beach","10990"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10104","South Coast","101041026","Moruya - Tuross Head","8116"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10104","South Coast","101041027","Narooma - Bermagui","9168"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10105","Goulburn - Mulwaree","101051539","Goulburn","23641"
"1","New South Wales","1RNSW","Rest of NSW","101","Capital Region","10105","Goulburn - Mulwaree","101051540","Goulburn Region","13003"
